Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,10.600000,10.600000,10.600000,10.600000,1.312736,1500
1996-01-03,10.666700,10.666700,10.466700,10.466700,1.296228,3000
1996-01-04,null,null,null,null,null,null
1996-01-05,10.666700,10.666700,10.466700,10.473300,1.297045,6000
1996-01-08,10.333300,10.533300,10.333300,10.533300,1.304476,3000
1996-01-09,null,null,null,null,null,null
1996-01-10,10.066700,10.066700,10.066700,10.066700,1.246691,1500
1996-01-11,null,null,null,null,null,null
1996-01-12,null,null,null,null,null,null
1996-01-15,null,null,null,null,null,null
1996-01-16,10.066700,10.066700,9.666670,9.666670,1.197150,3000
1996-01-17,null,null,null,null,null,null
1996-01-18,9.666670,9.666670,9.466670,9.466670,1.172381,3000
1996-01-19,9.866670,9.866670,9.866670,9.866670,1.221918,1500
1996-01-22,null,null,null,null,null,null
1996-01-23,9.833330,9.883330,9.600000,9.866670,1.221918,15000
1996-01-24,9.866670,9.866670,9.866670,9.866670,1.221918,6000
1996-01-25,10.000000,10.000000,10.000000,10.000000,1.238430,1500
1996-01-26,null,null,null,null,null,null
1996-01-29,9.666670,9.666670,9.666670,9.666670,1.197150,1500
1996-01-30,9.866670,9.900000,9.666670,9.666670,1.197150,12000
1996-01-31,9.833330,9.833330,9.833330,9.833330,1.217790,1500
1996-02-01,10.133300,10.466700,10.133300,10.466700,1.296228,6000
1996-02-02,11.466700,11.466700,11.466700,11.466700,1.420071,1500
1996-02-05,11.466700,11.800000,11.466700,11.716700,1.451032,10500
1996-02-06,11.716700,12.333300,11.670000,11.800000,1.461348,19500
1996-02-07,11.533300,11.533300,11.533300,11.533300,1.428319,1500
1996-02-08,11.533300,11.666700,11.533300,11.593300,1.435750,24000
1996-02-09,12.000000,12.733300,12.000000,12.666700,1.568683,19500
1996-02-12,13.333300,13.333300,13.000000,13.000000,1.609960,6000
1996-02-13,13.000000,13.000000,12.666700,12.666700,1.568683,10500
1996-02-14,13.666700,13.666700,13.100000,13.100000,1.622344,21000
1996-02-15,13.066700,13.066700,13.066700,13.066700,1.618220,1500
1996-02-16,13.000000,13.000000,12.666700,12.700000,1.572807,12000
1996-02-19,12.666700,12.666700,12.666700,12.666700,1.568683,19500
1996-02-20,12.666700,12.800000,12.800000,12.800000,1.585191,7500
1996-02-21,null,null,null,null,null,null
1996-02-22,13.666700,13.666700,12.666700,12.866700,1.593451,9000
1996-02-23,12.866700,13.133300,12.800000,12.926700,1.600882,10500
1996-02-26,12.866700,13.183300,12.866700,12.903300,1.597984,37500
1996-02-27,13.133300,13.333300,13.000000,13.333300,1.651237,36000
1996-02-28,13.666700,13.666700,13.400000,13.533300,1.676005,12000
1996-02-29,13.070000,13.070000,13.066700,13.066700,1.618220,9000
1996-03-01,13.200000,13.466700,13.200000,13.333300,1.651237,19500
1996-03-04,13.333300,13.000000,12.700000,12.940000,1.602529,12000
1996-03-05,null,null,null,null,null,null
1996-03-06,12.940000,13.666700,13.133300,13.666700,1.692526,37500
1996-03-07,13.666700,13.866700,13.666700,13.866700,1.717294,15000
1996-03-08,13.866700,13.916700,13.633300,13.636700,1.688810,12000
1996-03-11,13.636700,13.666700,13.543300,13.633300,1.688389,12000
1996-03-12,13.633300,13.603300,13.333300,13.596700,1.683856,16500
1996-03-13,13.596700,13.600000,13.600000,13.600000,1.684265,1500
1996-03-14,13.600000,13.666700,13.466700,13.466700,1.667757,15000
1996-03-15,13.533300,13.533300,13.470000,13.470000,1.668166,4500
1996-03-18,13.333300,13.333300,13.156700,13.156700,1.629366,18000
1996-03-19,13.156700,13.266700,13.000000,13.266700,1.642988,16500
1996-03-20,null,null,null,null,null,null
1996-03-21,13.266700,13.400000,13.266700,13.400000,1.659497,3000
1996-03-22,13.400000,13.400000,13.000000,13.400000,1.659497,16500
1996-03-25,13.400000,13.533300,13.336700,13.336700,1.651658,9000
