Date,Declination
1600-01-02 00:00:00,17.549833333333336
1600-01-09 00:00:00,18.30675
1600-01-16 00:00:00,19.200166666666664
1600-01-23 00:00:00,20.145138888888887
1600-01-30 00:00:00,21.04138888888889
1600-02-06 00:00:00,21.802194444444446
1600-02-13 00:00:00,22.368444444444446
1600-02-20 00:00:00,22.713694444444442
1600-02-27 00:00:00,22.84322222222222
1600-03-05 00:00:00,22.782444444444444
1600-03-12 00:00:00,22.558666666666667
1600-03-19 00:00:00,22.193472222222223
1600-03-26 00:00:00,21.703972222222223
1600-04-02 00:00:00,21.103972222222225
1600-04-09 00:00:00,20.401527777777776
1600-04-16 00:00:00,19.6
1600-04-23 00:00:00,18.702277777777777
1600-04-30 00:00:00,17.712555555555554
1600-05-07 00:00:00,16.633777777777777
1600-05-14 00:00:00,15.467305555555555
1600-05-21 00:00:00,14.215972222222222
1600-05-28 00:00:00,12.884888888888888
1600-06-04 00:00:00,11.478805555555555
1600-06-11 00:00:00,10.001333333333333
1600-06-18 00:00:00,8.457333333333333
1600-06-25 00:00:00,6.853944444444444
1600-07-02 00:00:00,5.197972222222223
1600-07-09 00:00:00,3.4952222222222225
1600-07-16 00:00:00,1.7524166666666667
1600-07-23 00:00:00,-0.021444444444444443
1600-07-30 00:00:00,-1.8174722222222222
1600-08-06 00:00:00,-3.6276111111111113
1600-08-13 00:00:00,-5.442777777777778
1600-08-20 00:00:00,-7.251722222222222
1600-08-27 00:00:00,-9.042805555555555
1600-09-03 00:00:00,-10.804833333333335
1600-09-10 00:00:00,-12.525472222222223
1600-09-17 00:00:00,-14.190388888888888
1600-09-24 00:00:00,-15.784527777777777
1600-10-01 00:00:00,-17.292972222222225
1600-10-08 00:00:00,-18.700027777777777
1600-10-15 00:00:00,-19.988555555555557
1600-10-22 00:00:00,-21.14136111111111
1600-10-29 00:00:00,-22.142027777777777
1600-11-05 00:00:00,-22.974444444444444
1600-11-12 00:00:00,-23.62327777777778
1600-11-19 00:00:00,-24.075
1600-11-26 00:00:00,-24.31861111111111
1600-12-03 00:00:00,-24.345583333333334
1600-12-10 00:00:00,-24.15063888888889
1600-12-17 00:00:00,-23.732416666666666
1600-12-24 00:00:00,-23.093194444444443
1600-12-31 00:00:00,-22.238222222222223
1601-01-07 00:00:00,-21.176416666666668
1601-01-14 00:00:00,-19.920416666666668
1601-01-21 00:00:00,-18.485166666666668
1601-01-28 00:00:00,-16.886555555555557
1601-02-04 00:00:00,-15.142527777777778
1601-02-11 00:00:00,-13.27288888888889
1601-02-18 00:00:00,-11.297805555555556
1601-02-25 00:00:00,-9.236472222222222
1601-03-04 00:00:00,-7.108472222222222
1601-03-11 00:00:00,-4.934111111111111
1601-03-18 00:00:00,-2.73325
1601-03-25 00:00:00,-0.5238333333333334
1601-04-01 00:00:00,1.6764166666666664
1601-04-08 00:00:00,3.849388888888889
1601-04-15 00:00:00,5.977638888888889
1601-04-22 00:00:00,8.045583333333333
1601-04-29 00:00:00,10.038222222222222
1601-05-06 00:00:00,11.940472222222223
1601-05-13 00:00:00,13.737833333333333
1601-05-20 00:00:00,15.417777777777777
1601-05-27 00:00:00,16.96875
1601-06-03 00:00:00,18.379638888888888
1601-06-10 00:00:00,19.6405
1601-06-17 00:00:00,20.743555555555556
1601-06-24 00:00:00,21.682555555555556
1601-07-01 00:00:00,22.45261111111111
1601-07-08 00:00:00,23.050805555555556
1601-07-15 00:00:00,23.476527777777775
1601-07-22 00:00:00,23.73097222222222
1601-07-29 00:00:00,23.817138888888888
1601-08-05 00:00:00,23.740277777777777
1601-08-12 00:00:00,23.507527777777778
1601-08-19 00:00:00,23.127
1601-08-26 00:00:00,22.608305555555557
1601-09-02 00:00:00,21.962944444444442
1601-09-09 00:00:00,21.203138888888887
1601-09-16 00:00:00,20.340999999999998
1601-09-23 00:00:00,19.389388888888888
1601-09-30 00:00:00,18.362805555555557
1601-10-07 00:00:00,17.275583333333334
1601-10-14 00:00:00,16.141277777777777
1601-10-21 00:00:00,14.973722222222221
1601-10-28 00:00:00,13.788722222222223
1601-11-04 00:00:00,12.601916666666666
1601-11-11 00:00:00,11.42775
1601-11-18 00:00:00,10.281305555555557
1601-11-25 00:00:00,9.180472222222221
1601-12-02 00:00:00,8.14336111111111
1601-12-09 00:00:00,7.187277777777778
1601-12-16 00:00:00,6.330638888888888
1601-12-23 00:00:00,5.596
1601-12-30 00:00:00,5.0065277777777775
1602-01-06 00:00:00,4.5840555555555556
1602-01-13 00:00:00,4.350638888888889
1602-01-20 00:00:00,4.330444444444444
1602-01-27 00:00:00,4.541611111111111
1602-02-03 00:00:00,4.988916666666666
1602-02-10 00:00:00,5.660277777777778
1602-02-17 00:00:00,6.523166666666667
1602-02-24 00:00:00,7.513277777777778
1602-03-03 00:00:00,8.536555555555555
1602-03-10 00:00:00,9.490694444444443
1602-03-17 00:00:00,10.287861111111111
1602-03-24 00:00:00,10.863222222222221
1602-03-31 00:00:00,11.182666666666666
1602-04-07 00:00:00,11.244361111111111
1602-04-14 00:00:00,11.066472222222224
1602-04-21 00:00:00,10.671277777777776
1602-04-28 00:00:00,10.08136111111111
1602-05-05 00:00:00,9.321055555555555
1602-05-12 00:00:00,8.412777777777778
1602-05-19 00:00:00,7.373138888888889
1602-05-26 00:00:00,6.2155000000000005
1602-06-02 00:00:00,4.954083333333333
1602-06-09 00:00:00,3.6024722222222225
1602-06-16 00:00:00,2.1712499999999997
1602-06-23 00:00:00,0.6697777777777777
1602-06-30 00:00:00,-0.8908888888888888
